Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,68,8,Some Random Commen with Id 0
1,0,4,165,9,Some Random Commen with Id 1
2,0,4,142,0,Some Random Commen with Id 2
3,0,4,68,2,Some Random Commen with Id 3
4,0,4,36,0,Some Random Commen with Id 4
5,0,4,81,1,Some Random Commen with Id 5
6,1,0,134,0,Some Random Commen with Id 6
7,1,0,38,5,Some Random Commen with Id 7
8,1,0,132,9,Some Random Commen with Id 8
9,1,0,130,6,Some Random Commen with Id 9
10,1,0,168,9,Some Random Commen with Id 10
11,1,0,117,5,Some Random Commen with Id 11
12,1,0,38,5,Some Random Commen with Id 12
13,1,0,117,3,Some Random Commen with Id 13
14,2,0,183,7,Some Random Commen with Id 14
15,2,0,157,1,Some Random Commen with Id 15
16,2,0,174,5,Some Random Commen with Id 16
17,2,0,92,4,Some Random Commen with Id 17
18,2,0,131,4,Some Random Commen with Id 18
19,2,0,77,2,Some Random Commen with Id 19
20,3,5,35,7,Some Random Commen with Id 20
21,3,5,19,1,Some Random Commen with Id 21
22,3,5,1,2,Some Random Commen with Id 22
23,3,5,32,7,Some Random Commen with Id 23
24,4,4,99,4,Some Random Commen with Id 24
25,4,4,6,1,Some Random Commen with Id 25
26,4,4,8,8,Some Random Commen with Id 26
27,4,4,137,6,Some Random Commen with Id 27
28,4,4,119,3,Some Random Commen with Id 28
29,5,8,172,9,Some Random Commen with Id 29
30,5,8,65,3,Some Random Commen with Id 30
31,5,8,160,6,Some Random Commen with Id 31
32,5,8,58,6,Some Random Commen with Id 32
33,5,8,181,1,Some Random Commen with Id 33
34,5,8,78,5,Some Random Commen with Id 34
35,7,1,78,8,Some Random Commen with Id 35
36,7,1,3,4,Some Random Commen with Id 36
37,7,1,184,0,Some Random Commen with Id 37
38,7,1,170,1,Some Random Commen with Id 38
39,7,1,76,8,Some Random Commen with Id 39
40,7,1,81,4,Some Random Commen with Id 40
41,8,6,123,1,Some Random Commen with Id 41
42,8,6,27,2,Some Random Commen with Id 42
43,8,6,63,6,Some Random Commen with Id 43
44,8,6,23,3,Some Random Commen with Id 44
45,8,6,13,0,Some Random Commen with Id 45
46,8,6,7,9,Some Random Commen with Id 46
47,9,2,103,6,Some Random Commen with Id 47
48,10,4,136,4,Some Random Commen with Id 48
49,10,4,87,1,Some Random Commen with Id 49
50,10,4,154,5,Some Random Commen with Id 50
51,10,4,197,5,Some Random Commen with Id 51
52,10,4,52,1,Some Random Commen with Id 52
53,10,4,12,2,Some Random Commen with Id 53
54,11,5,153,3,Some Random Commen with Id 54
55,12,0,82,5,Some Random Commen with Id 55
56,12,0,37,1,Some Random Commen with Id 56
57,12,0,89,6,Some Random Commen with Id 57
58,12,0,39,3,Some Random Commen with Id 58
59,12,0,53,0,Some Random Commen with Id 59
60,12,0,37,2,Some Random Commen with Id 60
61,12,0,123,7,Some Random Commen with Id 61
62,12,0,113,9,Some Random Commen with Id 62
63,12,0,169,8,Some Random Commen with Id 63
64,13,0,139,2,Some Random Commen with Id 64
65,13,0,124,1,Some Random Commen with Id 65
66,13,0,183,3,Some Random Commen with Id 66
67,14,4,122,0,Some Random Commen with Id 67
68,14,4,183,2,Some Random Commen with Id 68
69,14,4,45,6,Some Random Commen with Id 69
70,14,4,108,5,Some Random Commen with Id 70
71,14,4,171,6,Some Random Commen with Id 71
72,15,3,161,7,Some Random Commen with Id 72
73,15,3,22,4,Some Random Commen with Id 73
74,15,3,160,6,Some Random Commen with Id 74
75,15,3,6,1,Some Random Commen with Id 75
76,16,9,153,9,Some Random Commen with Id 76
77,16,9,72,2,Some Random Commen with Id 77
78,16,9,130,0,Some Random Commen with Id 78
79,17,1,42,0,Some Random Commen with Id 79
80,17,1,76,3,Some Random Commen with Id 80
81,17,1,163,9,Some Random Commen with Id 81
82,17,1,142,2,Some Random Commen with Id 82
83,17,1,153,2,Some Random Commen with Id 83
84,17,1,125,7,Some Random Commen with Id 84
85,17,1,146,2,Some Random Commen with Id 85
86,17,1,91,9,Some Random Commen with Id 86
87,18,5,63,8,Some Random Commen with Id 87
88,18,5,18,8,Some Random Commen with Id 88
89,18,5,67,3,Some Random Commen with Id 89
90,18,5,7,3,Some Random Commen with Id 90
91,19,1,175,5,Some Random Commen with Id 91
92,19,1,4,8,Some Random Commen with Id 92
93,19,1,112,5,Some Random Commen with Id 93
94,20,4,72,6,Some Random Commen with Id 94
95,20,4,23,4,Some Random Commen with Id 95
96,20,4,88,3,Some Random Commen with Id 96
97,20,4,173,9,Some Random Commen with Id 97
98,20,4,158,6,Some Random Commen with Id 98
99,21,1,42,0,Some Random Commen with Id 99
100,22,9,146,4,Some Random Commen with Id 100
101,22,9,10,2,Some Random Commen with Id 101
102,22,9,185,3,Some Random Commen with Id 102
103,23,9,130,2,Some Random Commen with Id 103
104,23,9,22,1,Some Random Commen with Id 104
105,23,9,106,5,Some Random Commen with Id 105
106,23,9,65,0,Some Random Commen with Id 106
107,23,9,27,4,Some Random Commen with Id 107
108,23,9,172,7,Some Random Commen with Id 108
109,23,9,37,5,Some Random Commen with Id 109
110,23,9,86,6,Some Random Commen with Id 110
111,23,9,88,3,Some Random Commen with Id 111
112,24,3,172,3,Some Random Commen with Id 112
113,24,3,189,5,Some Random Commen with Id 113
114,24,3,161,6,Some Random Commen with Id 114
115,24,3,7,4,Some Random Commen with Id 115
116,24,3,83,2,Some Random Commen with Id 116
